v2	V(vout)	I(R4)
Step Information: Illu_set=100  (Run: 1/10)
4.750000000000000e+000	4.750000e+000	1.000000e-004
4.775000000000000e+000	4.775000e+000	1.000000e-004
4.800000000000000e+000	4.800000e+000	1.000000e-004
4.825000000000000e+000	4.825000e+000	1.000000e-004
4.850000000000000e+000	4.850000e+000	1.000000e-004
4.875000000000000e+000	4.875000e+000	1.000000e-004
4.900000000000000e+000	4.900000e+000	1.000000e-004
4.925000000000000e+000	4.925000e+000	1.000000e-004
4.950000000000000e+000	4.950000e+000	1.000000e-004
4.975000000000000e+000	4.975000e+000	1.000000e-004
5.000000000000000e+000	5.000000e+000	1.000000e-004
Step Information: Illu_set=500  (Run: 5/10)
1.000000000000000e-001	1.000000e-001	2.093248e-002
2.000000000000000e-001	2.000000e-001	2.091909e-002
3.000000000000000e-001	3.000000e-001	2.090569e-002
4.000000000000000e-001	4.000000e-001	2.089230e-002
5.000000000000000e-001	5.000000e-001	2.087890e-002
6.000000000000000e-001	6.000000e-001	2.086551e-002
7.000000000000000e-001	7.000000e-001	2.085211e-002
8.000000000000000e-001	8.000000e-001	2.083872e-002
9.000000000000000e-001	9.000000e-001	2.082532e-002
1.000000000000000e+000	1.000000e+000	2.081192e-002
1.100000000000000e+000	1.100000e+000	2.079852e-002
1.200000000000000e+000	1.200000e+000	2.078513e-002
1.300000000000000e+000	1.300000e+000	2.077173e-002
1.400000000000000e+000	1.400000e+000	2.075833e-002
1.500000000000000e+000	1.500000e+000	2.074492e-002
1.600000000000000e+000	1.600000e+000	2.073152e-002
1.700000000000000e+000	1.700000e+000	2.071810e-002
1.800000000000000e+000	1.800000e+000	2.070467e-002
1.900000000000000e+000	1.900000e+000	2.069123e-002
2.000000000000000e+000	2.000000e+000	2.067776e-002
2.100000000000000e+000	2.100000e+000	2.066425e-002
2.200000000000000e+000	2.200000e+000	2.065068e-002
2.300000000000000e+000	2.300000e+000	2.063702e-002
2.400000000000000e+000	2.400000e+000	2.062321e-002
2.500000000000000e+000	2.500000e+000	2.060918e-002
2.600000000000000e+000	2.600000e+000	2.059481e-002
2.700000000000000e+000	2.700000e+000	2.057992e-002
2.800000000000000e+000	2.800000e+000	2.056422e-002
2.900000000000000e+000	2.900000e+000	2.054728e-002
3.000000000000000e+000	3.000000e+000	2.052844e-002
3.100000000000000e+000	3.100000e+000	2.050668e-002
3.200000000000000e+000	3.200000e+000	2.048042e-002
3.300000000000000e+000	3.300000e+000	2.044725e-002
3.400000000000000e+000	3.400000e+000	2.040347e-002
3.500000000000000e+000	3.500000e+000	2.034338e-002
3.600000000000000e+000	3.600000e+000	2.025827e-002
3.700000000000000e+000	3.700000e+000	2.013474e-002
3.800000000000000e+000	3.800000e+000	1.995235e-002
3.900000000000000e+000	3.900000e+000	1.967986e-002
4.000000000000000e+000	4.000000e+000	1.926981e-002
4.100000000000000e+000	4.100000e+000	1.865051e-002
4.200000000000000e+000	4.200000e+000	1.771464e-002
4.300000000000000e+000	4.300000e+000	1.630373e-002
4.400000000000000e+000	4.400000e+000	1.418870e-002
4.500000000000000e+000	4.500000e+000	1.104827e-002
4.600000000000000e+000	4.600000e+000	6.451683e-003
4.625000000000000e+000	4.625000e+000	5.013699e-003
4.650000000000000e+000	4.650000e+000	3.441805e-003
4.675000000000000e+000	4.675000e+000	1.726250e-003
4.700000000000000e+000	4.700000e+000	1.000000e-004
4.725000000000000e+000	4.725000e+000	1.000000e-004
4.750000000000000e+000	4.750000e+000	1.000000e-004
4.775000000000000e+000	4.775000e+000	1.000000e-004
4.800000000000000e+000	4.800000e+000	1.000000e-004
4.825000000000000e+000	4.825000e+000	1.000000e-004
4.850000000000000e+000	4.850000e+000	1.000000e-004
4.875000000000000e+000	4.875000e+000	1.000000e-004
4.900000000000000e+000	4.900000e+000	1.000000e-004
4.925000000000000e+000	4.925000e+000	1.000000e-004
4.950000000000000e+000	4.950000e+000	1.000000e-004
4.975000000000000e+000	4.975000e+000	1.000000e-004
5.000000000000000e+000	5.000000e+000	1.000000e-004
Step Information: Illu_set=600  (Run: 6/10)
1.000000000000000e-001	1.000000e-001	2.512166e-002
2.000000000000000e-001	2.000000e-001	2.510826e-002
3.000000000000000e-001	3.000000e-001	2.509487e-002
4.000000000000000e-001	4.000000e-001	2.508147e-002
5.000000000000000e-001	5.000000e-001	2.506808e-002
6.000000000000000e-001	6.000000e-001	2.505468e-002
7.000000000000000e-001	7.000000e-001	2.504129e-002
8.000000000000000e-001	8.000000e-001	2.502789e-002
9.000000000000000e-001	9.000000e-001	2.501449e-002
1.000000000000000e+000	1.000000e+000	2.500110e-002
1.100000000000000e+000	1.100000e+000	2.498770e-002
1.200000000000000e+000	1.200000e+000	2.497430e-002
1.300000000000000e+000	1.300000e+000	2.496090e-002
1.400000000000000e+000	1.400000e+000	2.494750e-002
1.500000000000000e+000	1.500000e+000	2.493410e-002
1.600000000000000e+000	1.600000e+000	2.492069e-002
1.700000000000000e+000	1.700000e+000	2.490727e-002
1.800000000000000e+000	1.800000e+000	2.489385e-002
1.900000000000000e+000	1.900000e+000	2.488040e-002
2.000000000000000e+000	2.000000e+000	2.486693e-002
2.100000000000000e+000	2.100000e+000	2.485342e-002
2.200000000000000e+000	2.200000e+000	2.483984e-002
2.300000000000000e+000	2.300000e+000	2.482617e-002
2.400000000000000e+000	2.400000e+000	2.481236e-002
2.500000000000000e+000	2.500000e+000	2.479831e-002
2.600000000000000e+000	2.600000e+000	2.478391e-002
2.700000000000000e+000	2.700000e+000	2.476898e-002
2.800000000000000e+000	2.800000e+000	2.475321e-002
2.900000000000000e+000	2.900000e+000	2.473618e-002
3.000000000000000e+000	3.000000e+000	2.471719e-002
3.100000000000000e+000	3.100000e+000	2.469520e-002
3.200000000000000e+000	3.200000e+000	2.466860e-002
3.300000000000000e+000	3.300000e+000	2.463490e-002
3.400000000000000e+000	3.400000e+000	2.459029e-002
3.500000000000000e+000	3.500000e+000	2.452895e-002
3.600000000000000e+000	3.600000e+000	2.444190e-002
3.700000000000000e+000	3.700000e+000	2.431541e-002
3.800000000000000e+000	3.800000e+000	2.412847e-002
