VLOAD,I(R1),V(illu)
4,0.0317883451964915,800
4.1,0.0311413125820352,800
4.2,0.0301635818805006,800
4.3,0.0286901766926588,800
4.4,0.0264831974127859,800
4.5,0.0232103973119164,800
4.6,0.0184288528383503,800
4.625,0.0169350632016161,800
4.65,0.0153032449563657,800
4.675,0.0135235391489186,800
4.7,0.0115858881681916,800
4.725,0.0094801158604767,800
4.75,0.00719601774410616,800
4.775,0.00472345991139989,800
4.8,0.00205248467386854,800
4.825,9.9999999999989E-05,800
4.85,0.0001,800
4.875,0.0001,800
4.9,0.0001,800
4.925,0.0001,800
4.95,0.0001,800
4.975,0.0001,800
5,0.0001,800
0.1,0.0376892844240537,900
0.2,0.0376759890335939,900
0.3,0.0376626936245765,900
0.4,0.0376493981870307,900
0.5,0.0376361027056286,900
0.6,0.037622807156806,900
0.7,0.0376095115043387,900
0.8,0.0375962156925392,900
0.9,0.0375829196357993,900
1,0.0375696232025139,900
1.1,0.0375563261903679,900
1.2,0.0375430282883434,900
1.3,0.0375297290183146,900
1.4,0.0375164276452626,900
1.5,0.0375031230392482,900
1.6,0.0374898134632227,900
1.7,0.0374764962468364,900
1.8,0.0374631672849819,900
1.9,0.0374498202669142,900
2,0.0374364454911906,900
2.1,0.0374230280439007,900
2.2,0.0374095449981153,900
2.3,0.0373959611087087,900
2.4,0.037382222194279,900
2.5,0.0373682449637471,900
2.6,0.037353901378143,900
2.7,0.0373389946131004,900
2.8,0.0373232221133057,900
2.9,0.03730611881321,900
3,0.0372869698904639,900
3.1,0.0372646767364779,900
3.2,0.0372375511361556,900
3.3,0.0372029993865448,900
3.4,0.0371570379327184,900
3.5,0.0370935516769184,900
3.6,0.0370031606539563,900
3.7,0.036871493923972,900
3.8,0.0366765738527639,900
3.9,0.0363848831204949,900
4,0.0359455224799592,900
4.1,0.035281695999366,900
4.2,0.0342786701381055,900
4.3,0.0327675594376484,900
4.4,0.0305052280847202,900
4.5,0.0271529354713134,900
4.6,0.0222606663852165,900
4.625,0.0207335449595751,900
4.65,0.0190659719154942,900
4.675,0.0172480321391357,900
4.7,0.0152696307328224,900
4.725,0.0131205757375539,900
4.75,0.0107906706551679,900
4.775,0.00826981522433234,900
4.8,0.00554811237889297,900
4.825,0.00261597884040077,900
4.85,0.000100000000000044,900
4.875,0.0001,900
4.9,0.0001,900
4.925,0.0001,900
4.95,0.0001,900
4.975,0.0001,900
5,0.0001,900
0.1,0.0418784599569125,1000
0.2,0.0418651645655192,1000
0.3,0.0418518691550669,1000
0.4,0.0418385737153152,1000
0.5,0.0418252782305218,1000
0.6,0.0418119826764861,1000
0.7,0.0417986870160046,1000
0.8,0.0417853911918848,1000
0.9,0.0417720951162049,1000
1,0.0417587986538034,1000
1.1,0.0417455015968974,1000
1.2,0.0417322036260637,1000
1.3,0.0417189042502548,1000
1.4,0.0417056027145879,1000
1.5,0.0416922978585867,1000
